名字,题目,选项1,选项2,选项3,选项4
活着,关于《活着》这本小说，本书的叙事口吻是什么风格,毫不关心,嘲讽不屑,轻松幽默,惊讶可惜
弗兰肯斯坦,关于《弗兰肯斯坦》这本小说，本书的写作风格,幽默,悲痛,哥特式,清新
长安的荔枝,关于《长安的荔枝》这本小说，下列那句话体现书中对为官之道的描写,和光同尘，好处均沾，花花轿子众人抬,就算失败，我也想知道，自己倒在距离终点多远的地方,跳胡旋舞的要诀，不是随乐班而动，而是旋出自己的节奏。,有些冲动是苟且不了的，有些心思是藏不住的
百年孤独,关于《百年孤独》这本小说，被归类为哪种文学流派？,魔幻现实主义,现实主义,浪漫主义,古典主义
悲惨世界,关于《悲惨世界》这本小说，《悲惨世界》采用了哪种文学手法展示人性的复杂性？,叙述内疚,叙述内疚,反讽,象征主义
灿烂千阳,关于《灿烂千阳》这本小说，小说的文学风格以什么为主要特点？,悬疑与推理,社会写实,幻想与奇幻,历史叙事
德米安,关于《德米安》这本小说，埃米尔·辛克莱的成长历程是该小说的主要叙述内容，采用的叙述方式是什么？,第三人称视角,第一人称视角,第二人称视角,视角不固定
德米安,关于《德米安》这本小说，小说中采用了两条平行线索进行叙述，分别是：,小说中采用了两条平行线索进行叙述，分别是：,环境描写与情节发展,主人公家庭背景与成长经历,对外部世界的评价与描述
德米安,关于《德米安》这本小说，文学风格以什么为主要特征？,冷峻和超现实,浪漫主义和幻想,现实主义和客观,象征主义和抽象
恶意,关于《恶意》这本小说，本书的文学风格以何种方式展现？,叙述多角度,线性叙事,诗歌式描写,简洁明了
弗兰肯斯坦,关于《弗兰肯斯坦》这本小说，组合各种动植物的器官,浪漫主义小说,哥德小说,现实主义小说,古典文学
弗兰肯斯坦,关于《弗兰肯斯坦》这本小说，采用怎样的叙述方式,第一人称叙述,第三人称叙述,交错叙述,反转叙述
红楼梦,关于《红楼梦》这本小说，以下哪种文学手法在《红楼梦》中常见,叙事流畅,对话明了,唯美描写,实事求是
活着,关于《活着》这本小说，文学创作中所强调的思想主要体现在哪个方面,社会现实主义,生存哲学,浪漫主义,抒情主义
活着,关于《活着》这本小说，的文学风格主要以什么为特点？,现实主义描写,唯美抒情,魔幻写实,史诗叙事
叫魂,关于《叫魂》这本小说，以何种文学风格为主,叙事文学,科幻文学,学术论述,抒情诗歌
解忧杂货店,关于《解忧杂货店》这本小说，故事中哪种文学风格被广泛运用？,现实主义,象征主义,古典主义,浪漫主义
解忧杂货店,关于《解忧杂货店》这本小说，故事中通过怎样的手法展现了人与人之间的紧密关系？,叙述回忆,书信往来,时间穿越,梦幻描写
金色梦乡,关于《金色梦乡》这本小说，作品中引用了哪些披头四的歌曲作为标题或常见标语？,Help!、Come_Together,Let_It_Be、Yesterday,Imagine、Hey_Jude,Twist_and_Shout、All_You_Need_Is_Love
绝叫,关于《绝叫》这本小说，文学风格是什么？,犯罪写实主义,浪漫主义,超现实主义,古典主义
绝叫,关于《绝叫》这本小说，叙述方式和语言特点是什么？,第一人称叙述,第三人称叙述,多视角叙述,叙述者幽默风趣
麦琪的礼物,关于《麦琪的礼物》这本小说，故事中的情感描写采用了什么手法？,比喻,拟人,对比,叙述
面纱,关于《面纱》这本小说，威廉·索默赛特·毛姆的小说《面纱》以哪种文学风格著称？,浪漫主义,现实主义,超现实主义,印象主义
面纱,关于《面纱》这本小说，通过怎样的叙述手法展现故事？,第一人称叙述,第三人称叙述,独白叙述,反转叙述
尼罗河上的惨案,关于《尼罗河上的惨案》这本小说，尼罗河上的惨案的结局揭示了什么文学元素？,反讽,悬疑,讽刺,浪漫
孽子,关于《孽子》这本小说，被归类为哪种文学流派,现实主义,浪漫主义,象征主义,古典主义
平凡的世界（全三部）,关于《平凡的世界（全三部）》这本小说，该小说主要以何种文学风格进行描写？,现实主义,浪漫主义,奇幻文学,古典主义
强风吹拂,关于《强风吹拂》这本小说，文学风格主要是？,现实主义,浪漫主义,抒情主义,象征主义
倾城之恋,关于《倾城之恋》这本小说，文章的情感基调主要是什么？,浪漫,冷静,激情,悲凉
三体,关于《三体》这本小说，采用了哪种科幻元素作为基本设定？,时间穿越,平行宇宙,经典力学中的三体问题,超能力
杀死一只知更鸟,关于《杀死一只知更鸟》这本小说，梅冈城故事以哪位角色的视角来叙述？,杰姆·芬奇,丝考特·芬奇,汤姆·鲁滨逊,阿提克斯·芬奇
射雕英雄传,关于《射雕英雄传》这本小说，采用了哪种文学手法来展现郭靖的成长和奋斗历程？,讽刺,叙事,抒情,描述
神雕侠侣,关于《神雕侠侣》这本小说，作者通过何种手法展现杨过与小龙女的感情纠葛？,对话交流,心理描写,叙述时间流逝,情节对比
神雕侠侣,关于《神雕侠侣》这本小说，小说中采用哪种叙述手法展现杨过与小龙女的分离？,叙述回顾,内心独白,对话交流,第三人称
鼠疫,关于《鼠疫》这本小说，是哪种文学作品？,浪漫主义小说,现实主义小说,魔幻现实主义小说,古典小说
鼠疫,关于《鼠疫》这本小说，文学风格具有哪些特征？,浪漫主义,冷峻现实主义,奇幻写实,抒情主义
树上的男爵,关于《树上的男爵》这本小说，采用了什么样的文学风格来展现柯希莫的生活？,超现实主义,浪漫主义,现实主义,自然主义
水浒传,关于《水浒传》这本小说，所展现的文学风格主要包括？,浪漫主义和现实主义,古典主义和唯美主义,现代主义和超现实主义,现实主义和英雄主义
水浒传,关于《水浒传》这本小说，采用怎样的叙述方式来展现故事情节？,第一人称叙述,第二人称叙述,第三人称叙述,多角度交替叙述
苏菲的世界,关于《苏菲的世界》这本小说，《苏菲的世界》这本书的文学风格主要体现在？,对现实生活的详实描写,对哲学思想的创意表达,对历史事件的精准叙述,对心理状态的深刻分析
围城,关于《围城》这本小说，运用了哪种文学手法？,魔幻现实主义,浪漫主义,现实主义,抽象表现主义
天龙八部,关于《天龙八部》这本小说，采用了何种叙事手法,第一人称叙事,第三人称叙事,多视角叙事,叙述回溯手法
西线无战事,关于《西线无战事》这本小说，作者通过怎样的文学手法来描绘战争中士兵的生活？,抒情描写,冷静客观叙述,幽默夸张描述,超现实主义表现
西游记,关于《西游记》这本小说，开头诗中的“混沌未分天地乱”表现了哪种文学手法？,比喻,拟人,对偶,排比
西游记,关于《西游记》这本小说，采用的文学手法主要是？,叙述,描写,讽刺,抒情
西游记,关于《西游记》这本小说，采用怎样的语言风格来叙述悉达多的故事？,简练明了,冗长详细,抒情诗意,冷静客观
西游记,关于《西游记》这本小说，故事中的河流象征着什么？,生命的轮回,社会变革,时间的流逝,人与自然和谐共生
嫌疑人X的献身,关于《嫌疑人X的献身》这本小说，故事主要是什么题材的？,人物情感,社会道德,悬疑情节,悬疑情节
香水,关于《香水》这本小说，小说中采用了怎样的语言来描述格勒努耶的嗅觉能力？,冷静客观,幻想奇幻,史诗叙述,现实主义
香水,关于《香水》这本小说，小说中对孤儿、社会底层人物的生存困境进行了怎样的描写？,英雄主义,社会批判,爱情主题,奇幻冒险
象棋的故事,关于《象棋的故事》这本小说，茨威格在《象棋的故事》中采用了怎样的文学手法来表现主人公的内心矛盾与挣扎？,明喻和暗喻,叙述和对话,笔调和抒情,内疚与忏悔
小王子,关于《小王子》这本小说，小王子是什么类型的小说？,寓言和幻想,冒险和探索,现实主义和社会批判,抒发情感和感悟人生
小王子,关于《小王子》这本小说，作者安托万·德·圣修伯里的飞行员身份如何影响了《小王子》的文学表达？,增添了冒险元素,增强了幻想成分,彰显了人物的勇敢和智慧,呈现了现实世界的残酷
肖申克的救赎,关于《肖申克的救赎》这本小说，文学风格主要是,现实主义,浪漫主义,印象主义,象征主义
笑傲江湖,关于《笑傲江湖》这本小说，小说中描写武林江湖斗争的文学风格是？,浪漫主义,玄幻,古典文学,现实主义
许三观卖血记,关于《许三观卖血记》这本小说，这段故事以怎样的文学手法描述了许三观卖血经历？,叙事流畅，情节紧凑,抒情悲凉，情感真挚,幽默风趣，生动活泼,悬疑紧张，情节扣人心弦
雪山飞狐,关于《雪山飞狐》这本小说，“罗生门”式叙述手法指的是什么？,混合时间顺序叙述,融入神秘元素,使用大量对话进行叙述,引入多重视角叙述
一个叫欧维的男人决定去死,关于《一个叫欧维的男人决定去死》这本小说，故事中采用了怎样的叙述手法来展现欧维的内心世界？,第一人称叙述,交替视角叙述,反事实叙述,潜台词叙述
一个陌生女人的来信,关于《一个陌生女人的来信》这本小说，小说的文学风格如何？,浪漫主义,现实主义,奇幻文学,科幻小说
一桩事先张扬的凶杀案,关于《一桩事先张扬的凶杀案》这本小说，作者以怎样的叙述方式呈现这个悲剧故事？,第一人称叙述,第三人称客观叙述,线性时间叙述,多重视角叙述
月亮与六便士,关于《月亮与六便士》这本小说，作者运用怎样的文学手法来展示思特里克兰德的内心矛盾和追求？,叙事回溯,对比与比喻,具象描写,抒情描写
月亮与六便士,关于《月亮与六便士》这本小说，思特里克兰德的创作风格可以描述为：,艺术现实主义,现代主义,浪漫主义,抽象表现主义
云边有个小卖部,关于《云边有个小卖部》这本小说，小说展现了哪种文学风格？,冒险文学,现实主义文学,魔幻文学,古典文学
长安的荔枝,关于《长安的荔枝》这本小说，展现了哪种文学风格？,现实主义,历史小说,浪漫主义,奇幻小说
长安的荔枝,关于《长安的荔枝》这本小说，运用了何种叙述手法？,第一人称叙述,第三人称叙述,自由间接叙述,内心独白叙述
长日将尽,关于《长日将尽》这本小说，小说所展现的文学风格主要体现在哪个方面？,叙述手法,描写景色,情节安排,人物塑造
追风筝的人,关于《追风筝的人》这本小说，故事中的风筝比赛具有什么象征意义？,社交活动,竞争和友情,宗教仪式,政治表现
最好的我们,关于《最好的我们》这本小说，这段故事以什么文学风格为主？,冒险小说,青春成长小说,历史叙述小说,科幻小说
最好的我们,关于《最好的我们》这本小说，故事的叙述手法主要采用了？,第三人称叙述,第一人称叙述,日记体叙述,对话体叙述
无人生还,关于《无人生还》这本小说，十个印地安小男孩的童谣和死亡方式象征了什么？,人性的善良与纯洁,罪行的不可逃避,生存欲望的挑战,社会压迫与无奈选择
无人生还,关于《无人生还》这本小说，故事采用了哪种叙述手法？,第一人称叙述,交替视角叙述,线性叙述,第三人称有限视角
无人生还,关于《无人生还》这本小说，故事中儿歌和瓷像体现了什么？,奇幻和神秘的氛围,童真与无辜的形象,人性的善良与友善,纪念受害者的手段
我的天才女友,关于《我的天才女友》这本小说，这个故事的文学风格主要体现在哪方面？,人性的复杂性和社会问题,幽默讽刺和荒诞情节,情感挣扎和内心冲突,科幻元素和未来展望
斯通纳,关于《斯通纳》这本小说，《斯通纳》的叙述手法可以被描述为什么？,平行叙事,倒叙叙事,多重视角叙事,混合叙事
斯通纳,关于《斯通纳》这本小说，《斯通纳》中的情节预设体现了哪种文学手法？,悬疑,悲剧,暗示,转折
梦里花落知多少,关于《梦里花落知多少》这本小说，故事的文学风格主要体现在哪方面？,叙述手法生动，描述细腻,题材丰富，情节扑朔迷离,文学风格简洁，以对话为主,描写背景细腻，情感真挚
梦里花落知多少,关于《梦里花落知多少》这本小说，在北京，林岚回忆起和顾小北的过去，这一情节突出了什么文学风格？,深刻的心理描写,叙述手法的巧妙运用,异地背景的反思,情感真实表达
骆驼祥子,关于《骆驼祥子》这本小说，《骆驼祥子》的文学风格主要体现在哪方面？,希腊悲剧的叙述手法,现实主义描写社会底层生活,浪漫主义的情感表达,古典主义的人性探讨
鹿鼎记,关于《鹿鼎记》这本小说，故事《鹿鼎记》中的叙述以什么样的文学风格为主？,浪漫主义,现实主义,历史文学,奇幻文学
鹿鼎记,关于《鹿鼎记》这本小说，故事中的戏剧性和荒诞情节是该小说采用的哪种文学风格的体现？,讽刺小说,冒险小说,传记小说,寓言小说
鹿川有许多粪,关于《鹿川有许多粪》这本小说，小说集的主要文学风格可以描述为：,现实主义,超现实主义,古典主义,浪漫主义
雷雨,关于《雷雨》这本小说，该剧作所体现的主要文学风格是：,现实主义,浪漫主义,抒情主义,古典主义
呼兰河传,关于《呼兰河传》这本小说，小说《呼兰河传》中呈现了怎样的文学风格？,描述性叙述,抒情叙述,叙述对话,叙述夹叙夹议
海的女儿,关于《海的女儿》这本小说，故事中的文学风格主要体现为什么特点？,现实主义，独特叙述手法,神话色彩，夸张叙事,现代主义，心理描写,古典主义，简洁叙述
房思琪的初恋乐园,关于《房思琪的初恋乐园》这本小说，小说中使用了哪种叙述手法？,第一人称叙述,无人称客观叙述,第三人称全知视角,反向叙述
窗边的小豆豆,关于《窗边的小豆豆》这本小说，《窗边的小豆豆》的文学风格主要体现为？,冒险小说，第一人称叙述，幽默风格,家庭小说，第三人称叙述，悲剧风格,童话故事，第一人称叙述，幻想风格,历史小说，第三人称叙述，史诗风格
茶馆,关于《茶馆》这本小说，文学风格主要表现为：,浪漫主义,冷峻现实主义,古典主义,象征主义
边城,关于《边城》这本小说，突发雷雨暴露了哪种文学风格？,现实主义,浪漫主义,象征主义,古典主义
白鹿原,关于《白鹿原》这本小说，题材主要是？,乡土题材,科幻题材,历史题材,犯罪题材
白鹿原,关于《白鹿原》这本小说，小说《白鹿原》的叙述手法可以被描述为？,第一人称叙述,第三人称全知视角,独白体叙述,双重叙述
霸王别姬,关于《霸王别姬》这本小说，该剧采用了哪种叙述手法？,第一人称叙述,第三人称叙述,全知视角叙述,反思性叙述
亮剑,关于《亮剑》这本小说，把我的意大利炮扛过来的台词是谁说的,和尚,老李,老王,翠花
水浒传,关于《水浒传》这本小说，梁山好汉中，谁获得过宋徽宗御笔亲写的赦书,林冲,宋江,燕青,杨志
红楼梦,关于《红楼梦》这本小说，说话咬舌头，把二哥哥说成爱哥哥的是？,紫娟,晴雯,史湘云,林黛玉
水浒传,关于《水浒传》这本小说，小说中谁倒拔垂杨柳,林黛玉,林冲,鲁智深,宋江
追风筝的人,关于《追风筝的人》这本小说，1981年阿米尔爸爸带阿米尔远渡重洋离开家乡是因为？,海外经商,战争,民族和宗教问题,为了让阿米尔获得更好的教育
西游记,关于《西游记》这本小说，小说中谁是石头蹦出来的,孙悟空,猪八戒,沙悟净,白龙马
悲惨世界,关于《悲惨世界》这本小说，冉阿让因为偷了什么而服了19年的苦役？,一瓶葡萄酒,一杯牛奶,一片面包,一块饼干
陆犯焉识,关于《陆犯焉识》这本小说，男主人公陆焉识为什么要在农场转迁时逃跑？,收到虐待,逃避处罚,思念家人,他人怂恿
一个陌生女人的来信,关于《一个陌生女人的来信》这本小说，作品讲述了陌生的女人在什么时候写下凄婉动人的长信,生命最后时刻,少年时期,生命中最开心的时刻,生命中最难过的时候
傲慢与偏见,关于《傲慢与偏见》这本小说，男主人公达西什么时候爱上了伊丽莎白？,二次见面,见识到了她的善良,与她首次交谈后,一见钟情
平凡的世界（全三部）,关于《平凡的世界（全三部）》这本小说，田晓霞是为何而死？,溺亡,因病而亡,饥荒,谋杀
房思琪的初恋乐园,关于《房思琪的初恋乐园》这本小说，房思琪受到伤害后为什么选择沉默？,放不下自身高贵的自尊心,将伤害当作肮脏与罪恶,担心受到他人的非议,她深爱着施暴者
解忧杂货店,关于《解忧杂货店》这本小说，年轻女孩月兔受到了什么困扰？,家庭与爱情的选择,爱情与梦想的抉择,梦想与现实的落差,亲情与未来的迷茫
肖申克的救赎,关于《肖申克的救赎》这本小说，肖申克收到什么指控入狱？,谋杀,抢劫,盗窃,贩毒
霸王别姬,关于《霸王别姬》这本小说，程蝶衣为什么起初会被嫌弃无法加入戏班,有六只手指,少了一只手,有六根脚趾,长得不好看
一句顶一万句,关于《一句顶一万句》这本小说，吴摩西为了找谁走出延津,养女,养子,父亲,母亲
2001：太空漫游,关于《2001：太空漫游》这本小说，小说中神秘的黑色石板出现在哪个地方,非洲草原,欧洲草原,亚洲草原,美洲草原
撒哈拉的故事,关于《撒哈拉的故事》这本小说，三毛捡到了什么东西导致她厄运不断？,手链,戒指,项链,耳环
嫌疑人X的献身,关于《嫌疑人X的献身》这本小说，凶手的杀人动机是什么？,一时失手,正当防卫,出于愤怒,蓄谋已久
哈利波特,关于《哈利波特》这本小说，伏地魔为什么会黑化？,家庭环境的影响,受到非人的待遇,被他人所胁迫,因为失去了爱人
三体,关于《三体》这本小说，叶文洁收到了外星生物传递的什么信息？,不要回答,请回答,你好,不要害怕
麦琪的礼物,关于《麦琪的礼物》这本小说，小说讲述了一对年轻的夫妇忍痛割爱的什么故事,互赠圣诞礼物,互赠万圣礼物,互赠结婚纪念日礼物,互赠明信片
当呼吸化为空气,关于《当呼吸化为空气》这本小说，保罗卡拉尼什在书中患了什么病,心脏病,肺癌,脑瘤,胃癌
一个叫欧维的男人决定去死,关于《一个叫欧维的男人决定去死》这本小说，欧维为什么下定决心去死,自己患病,妻子去世,有人胁迫,生活穷困
情书,关于《情书》这本小说，女藤井树为什么害怕医院,因为她的父亲因病在医院去世,因为男藤井树在医院上班,因为怕打针吃药,因为害怕得知真相
红楼梦,关于《红楼梦》这本小说，在贾府显赫时极力讨好攀附，而贾府衰败时又落井下石的人是？,贾雨村,跛足道人,甄士隐,冷子兴
水浒传,关于《水浒传》这本小说，小说中打虎的是谁,武松,吴用,柴进,花容
追风筝的人,关于《追风筝的人》这本小说，阿米尔最终决定救索拉博，不是因为哪一项？,出于对哈桑的愧疚,阿米尔与索拉博的友情,哈桑是阿米尔父亲的私生子,索拉博是哈桑的儿子
悲惨世界,关于《悲惨世界》这本小说，冉阿让从狱中逃出后，从德纳第家中救出了谁？,马吕斯,珂赛特,芳汀,安灼拉
边城,关于《边城》这本小说，文中天保和傩送以什么方式论胜负？,决斗,唱山歌,写信,送花
罪与罚,关于《罪与罚》这本小说，小说中为什么拉斯科尔尼科夫会认为自己可以为所欲为,因为自己能力强,因为自己和政府有关系,因为自己家里人有钱,因为自己受无政府主义思想毒害
斯通纳,关于《斯通纳》这本小说，威廉斯通纳多少岁成为的大学老师,18岁,19岁,20岁,21岁
陆犯焉识,关于《陆犯焉识》这本小说，为什么陆焉识会与时代政治百般周旋,为了坚持自由,为了保护自己的地位,为了自己能过上富裕的生活,为了与时代作对
白鹿原,关于《白鹿原》这本小说，黑娃为什么痛恨白嘉轩？,嫌他腰杆挺得太直,嫉妒他家的财富,白嘉轩曾经苛待过他,和白嘉轩的儿子结仇
金色梦乡,关于《金色梦乡》这本小说，为什么青柳雅春会开始逃亡,他暗杀首相,他被栽赃为暗杀手相的凶手,他聚众赌博且打人,他打劫银行，为非作歹
面纱,关于《面纱》这本小说，女主人公为什么会被丈夫胁迫去湄潭府,和别人通奸,杀了人,抢劫了银行,自己要求丈夫这样做
傲慢与偏见,关于《傲慢与偏见》这本小说，谁没有阻止达西和伊丽莎白的爱情？,达西的姨妈,宾利的妹妹,女主的父亲,男主的母亲
月亮与六便士,关于《月亮与六便士》这本小说，主人公为什么抛妻弃子，远走他乡？,逃避现实,追寻理想,受人胁迫,与妻子决裂
解忧杂货店,关于《解忧杂货店》这本小说，敦也、翔太、幸平为什么看不起寄信人“迷途的小狗”？,认为她十分轻浮,认为她过于天真,嫉妒她的才华,嫉妒她的财富
霸王别姬,关于《霸王别姬》这本小说，程蝶衣反复唱错的段落来自哪部戏曲作品？,天仙配,西厢记,思凡,牡丹亭
苏菲的世界,关于《苏菲的世界》这本小说，在谁的指引下，苏菲开始思索很多大师思考的根本问题,艾伯特,理查德,格林,巴克斯
球状闪电,关于《球状闪电》这本小说，陈博士的父母是怎么去世的,被闪电球烧成灰烬,家中失火一氧化碳中毒,车祸,癌症
霸王别姬,关于《霸王别姬》这本小说，段小楼后面娶了谁为妻,菊仙,程蝶衣,袁世卿,陈凯歌
一句顶一万句,关于《一句顶一万句》这本小说，吴摩西养女的儿子又为什么走出延津,摆脱孤独,挣钱,求学,旅游
2001：太空漫游,关于《2001：太空漫游》这本小说，黑色石板经历多久被人类在月球挖出,200万年,250万年,300万年,400万年
红楼梦,关于《红楼梦》这本小说，元春最终给“杏帘在望”赐名为什么？,梨花春雨,稻香村,浣葛山庄,桐剪秋风
白夜行,关于《白夜行》这本小说，凶手为什么要杀当铺老板？,情杀,报仇,误杀,憎恨
无人生还,关于《无人生还》这本小说，小说中的人物为什么会受邀齐聚在该岛上？,都有不可告人的秘密,追求享乐,想要从中获利,受到他人的胁迫
嫌疑人X的献身,关于《嫌疑人X的献身》这本小说，石神为什么要保护凶手？,因为愧疚,因为爱情,担心受到牵连,受到凶手胁迫
尼罗河上的惨案,关于《尼罗河上的惨案》这本小说，凶手的杀人动机是什么？,财产,情杀,憎恨,复仇
当呼吸化为空气,关于《当呼吸化为空气》这本小说，书中保罗获得哪所大学的双学位,美国斯坦福大学,美国密歇根大学,加利福尼亚大学,剑桥大学
解忧杂货店,关于《解忧杂货店》这本小说，月兔为什么会徘徊在爱情与梦想中,男友身患绝症,男友出轨,亲人离世,亲人得了绝症
骆驼祥子,关于《骆驼祥子》这本小说，小说中虎妞死于什么原因,难产,胃癌,心脏病,子宫癌
雪山飞狐,关于《雪山飞狐》这本小说，风雪之中胡夫人临盆请来的谁为她接生,阎基,苗人凤,程灵素,南兰
笑傲江湖,关于《笑傲江湖》这本小说，小说中令狐冲得到风清扬传授什么秘籍,独孤九剑,九阴真经,九阴白骨爪,降龙十八掌
云边有个小卖部,关于《云边有个小卖部》这本小说，王莺莺为什么不告诉刘十三患癌症的事,她是刘十三唯一的亲人了,不像让刘十三担心,害怕刘十三承受不了这一噩耗,以上都对
许三观卖血记,关于《许三观卖血记》这本小说，许三观卖了几次血,十,十一,十二,十三
弗兰肯斯坦,关于《弗兰肯斯坦》这本小说，怪物为什么杀死弗兰肯斯坦的弟弟,它的无心之举,它受人指使,它对世界的仇恨,它喜欢杀人
情书,关于《情书》这本小说，为什么男藤井树选择和女藤井树在停车棚昏暗的灯光下校对卷子,因为男藤井树迫切地想知道答案,因为这是女藤井树要求的,因为男藤井树想拖延更多的时间和女藤井树呆在一起,因为作者乐意
神雕侠侣,关于《神雕侠侣》这本小说，郭襄和杨过成亲的原因,杨过和郭襄两情相悦,杨过被郭靖黄蓉胁迫,假成亲,不符合事实
小王子,关于《小王子》这本小说，主人公六岁时，画了一副大蟒蛇在吞食野兽的画，为什么大人们认为那是一顶帽子？,他们在开玩笑,他们觉得吞噬野兽的蟒蛇很可怕,他们变得无趣，丧失了想象力,他们不知道什么是吞噬野兽的蟒蛇
追风筝的人,关于《追风筝的人》这本小说，1975年的一次风筝比赛中，阿米尔为什么要勇夺冠军？,为了得到冠军的奖品,为了在朋友面前出人头地,为了赢得爸爸的好感,和阿塞夫打赌获得风筝比赛冠军
罪与罚,关于《罪与罚》这本小说，拉斯科尔尼科夫最终被流放到哪里,西伯利亚,西欧,英格兰,内蒙
教父,关于《教父》这本小说，为什么回国后麦可成为新的黑手党领袖,麦可大哥被杀,麦可家人要求,麦可被选举,抽签
绝叫,关于《绝叫》这本小说，小说中铃木阳子是怎么死的,出车祸,淹死,孤独死,被谋杀
斯通纳,关于《斯通纳》这本小说，小说中威廉斯通纳在多少年死亡,1955,1956,1957,1958
受戒,关于《受戒》这本小说，为什么明海会出家,明海热衷于出家,明海受家里人感染,明海家里人少地多,明海突发奇想
陆犯焉识,关于《陆犯焉识》这本小说，陆焉识为什么会娶娘家侄女冯婉喻,两个人真心相爱,陆焉识心血来潮,陆焉识继母为了巩固自己在家族的地位,陆焉识为了尝试恋爱的感觉
白鹿原,关于《白鹿原》这本小说，田小娥为何而死？,饿死,被杀,冷死,病死
金色梦乡,关于《金色梦乡》这本小说，男主人公一开始因为什么一夜成名,解决当红女星,拾金不昧上了新闻,智商太高，在众人中很突出,画画很好看，且学习能力强
面纱,关于《面纱》这本小说，凯蒂最终和父亲一起去哪里生活,香港,马来西亚群岛,巴哈马群岛,英格兰半岛
一个陌生女人的来信,关于《一个陌生女人的来信》这本小说，小说中女孩成绩为什么从中等变成了第一名,遇见了作家,自己下定决心努力学习,作弊,收买老师
百年孤独,关于《百年孤独》这本小说，布恩迪亚为什么要离开家乡？,避开良心的谴责,与家族发生矛盾,追寻个人理想,与爱人私奔
我的天才女友,关于《我的天才女友》这本小说，小说16岁的莉莉拉决定嫁给了谁,银行商人,铁匠,肉食店老板,农民工
沉默的大多数,关于《沉默的大多数》这本小说，那只猪为什么特立独行？,活得潇洒,长相独特,叫声奇异,吃得最多
冰与火之歌,关于《冰与火之歌》这本小说，龙母丹妮莉丝为什么会嫁给马王卓戈卡奥？,为人所逼,出于爱情,逆反心理,爱慕马王
杀死一只知更鸟,关于《杀死一只知更鸟》这本小说，是什么杀死了“知更鸟”？,无知的人类,扭曲的心理,人性的邪恶,人们的偏见
霸王别姬,关于《霸王别姬》这本小说，国军士兵为什么抓走程蝶衣？,逼他为高官表演,认为他是汉奸,蝶衣出言不逊,将他作为威胁
肖申克的救赎,关于《肖申克的救赎》这本小说，肖申克为什么为狱友要啤酒？,及时享乐,抚慰人心,讨好狱友,报答恩情
不能承受的生命之轻,关于《不能承受的生命之轻》这本小说，最后托马斯和特丽莎为何而死,车祸,癌症,核辐射,跳楼
草房子,关于《草房子》这本小说，秦大奶奶冒险救了谁差点丧命,乔乔,桑桑,细马,纸月
撒哈拉的故事,关于《撒哈拉的故事》这本小说，三毛为什么会前往撒哈拉沙漠？,向往沙漠生活,感受到召唤,因荷西的工作,随遇而安
无人生还,关于《无人生还》这本小说，最后一位角色是如何死去的？,被重物砸死,被他人谋杀,被警察枪毙,自己结束生命
嫌疑人X的献身,关于《嫌疑人X的献身》这本小说，花冈美里为什么割腕？,想要摆脱痛苦的世界,想要随父亲一起离去,不能忍受父亲的虐待,自身受到了非人遭遇
树上的男爵,关于《树上的男爵》这本小说，柯希莫的父母为什么结婚？,父亲为了爵位,因为爱情,包办婚姻,未婚先孕
一桩事先张扬的凶杀案,关于《一桩事先张扬的凶杀案》这本小说，凶手的杀人动机是什么？,报仇,情杀,财杀,冲动
倾城之恋,关于《倾城之恋》这本小说，白流苏为什么愿意去香港？,将婚姻作为赌注,厌倦了平淡的生活,和恋人私奔,想要远离痛苦的家庭
三体,关于《三体》这本小说，罗辑为什么被选为面壁者,他使三体人惧怕,他的强硬,他发现了三体人的秘密,他有强大的力量
荒原狼,关于《荒原狼》这本小说，为什么哈勒尔会杀死赫尔米娜,出于嫉妒,出于自卫,出于有趣,为了体验坐牢的感觉
最好的我们,关于《最好的我们》这本小说，小说中余淮为耿耿做了很多事出于什么,对余淮的真心,为了巴结余淮,为了得到余淮的钱,为了接近她并且报复她
当呼吸化为空气,关于《当呼吸化为空气》这本小说，在保罗查出肺癌后，他以什么身份记录自己的余生,医生和患者,患者和记者,医生和记者,患者和裁判
象棋的故事,关于《象棋的故事》这本小说，小说中谁培养主角成为国际象棋世界冠军,养父,养母,父亲,母亲
解忧杂货店,关于《解忧杂货店》这本小说，松岗克郎为什么会离家漂泊,音乐梦,画画梦,爱情,足球梦
天龙八部,关于《天龙八部》这本小说，段誉在苏州对谁一见钟情,王语嫣,阿碧,钟灵,木婉清
笑傲江湖,关于《笑傲江湖》这本小说，小说中谁担任实施嵩山掌门时意欲吞并五岳,左冷禅,王元霸,令狐冲,林远图
一个叫欧维的男人决定去死,关于《一个叫欧维的男人决定去死》这本小说，欧维为什么在回家的反方向乘坐火车,为了观光,为了体验火车,为了索雅,为了消费
水浒传,关于《水浒传》这本小说，拳打镇关西和倒拔垂杨柳的是,鲁智深,戴宗,关胜,林冲
水浒传,关于《水浒传》这本小说，善于偷盗的梁山好汉是,时迁,鲁智深,吴用,宋江
2001：太空漫游,关于《2001：太空漫游》这本小说，地球上的科学家在哪里发现了第一块黑石版？,月球上的克拉维基基地,木星的卫星欧罗巴,金星的表面,地球的大西洋海底
2001：太空漫游,关于《2001：太空漫游》这本小说，哈儿为什么杀死了冬眠中的太空人？,为了保护自己不被关掉,误操作导致意外事件,受到外部恶意干扰,受到外星智慧生物的控制
